언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
영어권,고창군,전라북도,Gochang Dolmen Site [UNESCO World Heritage] (고창 고인돌 유적 [유네스코 세계문화유산]),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264577,인문(문화/예술/역사),역사관광지,유적지/사적지,119
영어권,임실군,전라북도,Okjeongho Lake (옥정호 (물안개길)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=825750,자연,자연관광지,호수,117
영어권,무주군,전라북도,Deogyusan Resort (무주덕유산리조트(구_ 부영덕유산리조트)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264290,인문(문화/예술/역사),휴양관광지,관광단지,116
영어권,군산시,전라북도,Eunpa Lake Park (Eunpa Recreation Area) (은파호수공원(은파국민관광지)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1601858,인문(문화/예술/역사),휴양관광지,공원,110
영어권,군산시,전라북도,Japanese-style House in Sinheung-dong (Hirotsu House) (군산 신흥동 일본식가옥(히로쓰 가옥)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1972028,인문(문화/예술/역사),역사관광지,유적지/사적지,110
영어권,군산시,전라북도,Gunsan Dongguksa Temple (동국사(군산)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1601861,인문(문화/예술/역사),역사관광지,사찰,107
영어권,군산시,전라북도,Jinpo Maritime Theme Park (진포해양테마공원),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1601865,인문(문화/예술/역사),휴양관광지,테마공원,105
영어권,전주시 완산구,전라북도,Jeonju Donggosa Temple (동고사 (전주)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1601826,인문(문화/예술/역사),역사관광지,사찰,101
영어권,정읍시,전라북도,Naejangsan Cable Car (내장산 케이블카),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=658455,인문(문화/예술/역사),산업관광지,기타,96
영어권,정읍시,전라북도,Jeongeup Naejangsan Special Tourist Zone (정읍 내장산 관광특구),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1963117,인문(문화/예술/역사),휴양관광지,관광단지,94
영어권,전주시 완산구,전라북도,Jeonju National Museum (국립전주박물관),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=268075,인문(문화/예술/역사),문화시설,박물관,90
영어권,고창군,전라북도,Gochangeupseong Walled Town (고창읍성),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=658574,인문(문화/예술/역사),역사관광지,성,87
영어권,완주군,전라북도,Wanju Samrye Culture & Arts Village (완주 삼례문화예술촌),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2475969,인문(문화/예술/역사),산업관광지,기타,83
영어권,전주시 완산구,전라북도,Gangam Calligraphy Museum (강암서예관),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264415,인문(문화/예술/역사),문화시설,전시관,78
영어권,전주시 덕진구,전라북도,Sori Arts Center of Jeollabuk-do (한국소리문화의전당),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1115026,인문(문화/예술/역사),문화시설,공연장,73
영어권,고창군,전라북도,Seonunsan Mountain [National Geopark] (선운산 (전북 서해안 국가지질공원)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=658504,자연,자연관광지,산,72
영어권,남원시,전라북도,Baraebong Peak (바래봉),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1918470,자연,자연관광지,산,68
영어권,남원시,전라북도,Baemsagolgyegok Valley (뱀사골 계곡),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=824902,자연,자연관광지,계곡,63
영어권,익산시,전라북도,Archaeological Site in Wanggung-ri [UNESCO World Heritage] (익산 왕궁리유적 [유네스코 세계문화유산]),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1984517,인문(문화/예술/역사),역사관광지,유적지/사적지,63
영어권,부안군,전라북도,Saemangeum (새만금),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=861115,인문(문화/예술/역사),휴양관광지,관광단지,58
영어권,전주시 완산구,전라북도,Jeonju Hanbyeok Culture Center (전한벽문화관),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1987300,인문(문화/예술/역사),문화시설,문화전수시설,52
영어권,군산시,전라북도,Wolmyeong Park (월명공원),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1601868,인문(문화/예술/역사),휴양관광지,공원,52
영어권,부안군,전라북도,Sono Belle Byeonsan Ocean Play (소노벨 변산 오션플레이),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1116725,자연,자연관광지,자연생태관광지,48
영어권,남원시,전라북도,Namwon Silsangsa Temple (실상사(남원)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264592,인문(문화/예술/역사),역사관광지,사찰,47
영어권,전주시 완산구,전라북도,Dongnagwon House (동락원),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1601840,숙박,숙박시설,관광호텔,47
영어권,군산시,전라북도,Sinsido Island Fishing Experience Village (신시도 어촌체험마을),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1601849,자연,자연관광지,섬,46
영어권,무주군,전라북도,Bandi Land (무주 반디랜드),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1069869,인문(문화/예술/역사),휴양관광지,공원,44
영어권,고창군,전라북도,Gochang Dolmen Museum (고창고인돌박물관),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1252613,인문(문화/예술/역사),문화시설,박물관,44
영어권,고창군,전라북도,Gochang Pansori Museum (고창판소리박물관),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1602363,인문(문화/예술/역사),문화시설,박물관,43
영어권,전주시 완산구,전라북도,Jeonju Museum of History (전주역사박물관),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=268163,인문(문화/예술/역사),문화시설,박물관,42
영어권,장수군,전라북도,Birthplace of Nongae (논개생가),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1628850,인문(문화/예술/역사),역사관광지,생가,41
영어권,고창군,전라북도,Gochang Munsusa Temple (문수사 (고창)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2032463,인문(문화/예술/역사),역사관광지,사찰,40
영어권,전주시 덕진구,전라북도,Jeonju World Cup Stadium (전주월드컵경기장),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=266924,레포츠,육상 레포츠,경기장,40
영어권,정읍시,전라북도,Donghak Peasants Revolution Memorial Hall (동학농민혁명기념관),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1602201,인문(문화/예술/역사),문화시설,기념관,40
영어권,전주시 완산구,전라북도,Chimyeongjasan Holy Ground (치명자산성지),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264413,인문(문화/예술/역사),역사관광지,종교성지,38
영어권,김제시,전라북도,Gimje Byeokgolje Reservoir (김제 벽골제),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1602255,인문(문화/예술/역사),역사관광지,유적지/사적지,36
영어권,부안군,전라북도,Wido Beach (위도해수욕장),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264529,자연,자연관광지,해수욕장,35
영어권,김제시,전라북도,Manghaesa Temple (망해사),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1602339,인문(문화/예술/역사),역사관광지,사찰,35
영어권,정읍시,전라북도,Naejangsan Mountain Visitor Information Center (내장산 탐방안내소),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=658477,인문(문화/예술/역사),문화시설,전시관,33
영어권,익산시,전라북도,Iksan National Museum (국립익산박물관),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1601898,인문(문화/예술/역사),문화시설,박물관,33
영어권,부안군,전라북도,Jiksopokpo Falls - Jeonbuk National Geopark (직소폭포 (전북 서해안권 국가지질공원)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264524,자연,자연관광지,폭포,31
영어권,정읍시,전라북도,Jeongeupsa Culture Park (정읍사문화공원),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1602183,인문(문화/예술/역사),휴양관광지,공원,30
영어권,부안군,전라북도,Gaeamsa Temple (개암사),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264522,인문(문화/예술/역사),역사관광지,사찰,30
영어권,전주시 완산구,전라북도,Damun (다문),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1345189,음식,음식점,한식,30
영어권,진안군,전라북도,Eunsusa Temple (은수사),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1602378,인문(문화/예술/역사),역사관광지,사찰,29
영어권,고창군,전라북도,Gochang Dosoram Hermitage (도솔암(고창)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1996261,인문(문화/예술/역사),역사관광지,사찰,29
영어권,순창군,전라북도,Sunchang Gangcheonsa Temple (강천사 (순창)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1629301,인문(문화/예술/역사),역사관광지,사찰,29
영어권,순창군,전라북도,Sunchang Jangnyu Experience Center (순창장류체험관),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1459387,인문(문화/예술/역사),체험관광지,전통체험,28
영어권,부안군,전라북도,Chaeseokgang Cliff (Jeonbuk National Geopark) (채석강 (전북 서해안권 국가지질공원)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264281,자연,자연관광지,해안절경,28
영어권,군산시,전라북도,Eocheongdo Island (어청도),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1382180,자연,자연관광지,섬,27
영어권,완주군,전라북도,Wibongpokpo Falls (위봉폭포),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1603584,자연,자연관광지,폭포,27
영어권,임실군,전라북도,Saseondae Tourist Resort & Sculpture Park (사선대관광지&조각공원),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1343984,인문(문화/예술/역사),휴양관광지,공원,26
