순위,관광지명,주소,분류,외지인 검색 수
61,국립전주박물관,전북 전주시 완산구 쑥고개로 249-0,전시시설,19988
62,롯데마트맥스송천점,전북 전주시 덕진구 송천중앙로 82-0,대형마트,19961
63,옥정호구절초테마공원,전북 정읍시 청정로 926-59,도시공원,19894
64,전주고속버스터미널,전북 전주시 덕진구 가리내로 70-0,교통시설,19633
65,NC웨이브전주점A관,전북 전주시 완산구 전주객사5길 35-0,백화점,19236
66,라마다호텔군산,전북 군산시 대학로 400-0,호텔,18682
67,모악산도립공원,전북 김제시,자연공원,18419
68,롯데마트전주점,전북 전주시 완산구 우전로 240-0,대형마트,18296
69,내장산골프앤리조트,전북 정읍시 첨단과학로 476-0,육상레저스포츠,18292
70,격포해넘이해수욕장,전북 부안군,자연경관(하천/해양),18261
71,학원농장,전북 고창군 학원농장길 158-6,농/산/어촌체험,17740
72,한국소리문화의전당,전북 전주시 덕진구 소리로 31-0,공연시설,17638
73,써미트컨트리클럽,전북 진안군 부귀로 72-161,육상레저스포츠,17601
74,정읍역,전북 정읍시 서부산업도로 305-0,교통시설,17548
75,고창CC,전북 고창군 애향갯벌로 70-0,육상레저스포츠,17489
76,옥정호출렁다리휴장중(2023년03월중순개장예정),전북 임실군,기타관광,16957
77,상떼힐익산CC,전북 익산시 무왕로38길 111-0,육상레저스포츠,16447
78,익산보석박물관,전북 익산시 호반로 8-0,전시시설,16246
79,강천사,전북 순창군 강천산길 270-0,종교성지,16192
80,홈플러스전주완산점,전북 전주시 완산구 기린대로 170-0,대형마트,16177
81,석정힐CC,전북 고창군 석정2로 192-0,육상레저스포츠,16088
82,전주샹그릴라CC,전북 임실군 수지로 559-90,육상레저스포츠,16035
83,엠카운티스파힐스CC,전북 김제시 온천길 37-0,육상레저스포츠,15936
84,순창용궐산하늘길,전북 순창군,기타관광,15871
85,롯데마트익산점,전북 익산시 무왕로 1053-0,대형마트,15579
86,무주반디랜드,전북 무주군 무설로 1324-0,도시공원,15563
87,국립신시도자연휴양림,전북 군산시 신시도길 134-3,자연공원,14955
88,내장산케이블카,전북 정읍시 내장산로 1179-11,기타관광,14919
89,무주덕유산리조트스키장,전북 무주군 만선로 185-0,육상레저스포츠,14834
90,격포항수산시장,전북 부안군 격포중앙길 28-4,시장,14789
91,롯데마트정읍점,전북 정읍시 벚꽃로 85-0,대형마트,14785
92,고창청보리밭축제,전북 고창군 학원농장길 158-6,기타문화관광지,14485
93,부안상설시장,전북 부안군 부풍로 47-0,시장,14465
94,골프존카운티 무주,전북 무주군 장무로 1537-21,육상레저스포츠,14439
95,변산반도국립공원,전북 부안군,자연공원,14398
96,내장산,전북 정읍시 내장산로 936-0,자연경관(산),14019
97,켄싱턴리조트지리산남원,전북 남원시 소리길 66-0,콘도미니엄,13931
98,베스트웨스턴,전북 군산시 새만금북로 435-0,호텔,13894
99,머루와인동굴,전북 무주군 산성로 359-0,기타관광,13508
100,야미도선착장,전북 군산시 야미도4길 0-0,교통시설,13386
