시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
무주군,전라북도,무주 반디랜드,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3ad7e1f6-59d6-4b04-9174-7db7ea5f16dd,인문(문화/예술/역사),휴양관광지,공원,1458
남원시,전라북도,뱀사골계곡,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7d954d8d-0d3c-42a9-9ec4-98dba898c755,자연,자연관광지,계곡,1414
부안군,전라북도,위도 (전북 서해안 국가지질공원),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=520b4fb9-25ac-43a0-81aa-0e2f72cede92,자연,자연관광지,섬,1299
남원시,전라북도,광한루원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=27ed68b5-c921-40d0-a8de-960d9a6b8939,인문(문화/예술/역사),역사관광지,유적지/사적지,1285
완주군,전라북도,위봉산성,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a2f2ed4d-235f-4cee-837b-a26525cc1f32,인문(문화/예술/역사),역사관광지,성,1245
군산시,전라북도,은파호수공원(은파국민관광지),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=50bdc414-202a-4fcc-b57e-ed5b864e1224,인문(문화/예술/역사),휴양관광지,공원,1186
익산시,전라북도,익산 왕궁리유적 [유네스코 세계유산],https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e9f189a7-01e0-4539-af2d-8aa64c6cce6a,인문(문화/예술/역사),역사관광지,유적지/사적지,1152
남원시,전라북도,남원시립김병종미술관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1ce00ea6-9174-4bd5-97f7-19309e20a124,인문(문화/예술/역사),문화시설,미술관/화랑,1127
고창군,전라북도,고창 운곡람사르습지,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9ac99603-6625-4ec1-81d0-83fe3a20ecdc,자연,자연관광지,자연생태관광지,1098
군산시,전라북도,복성루,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9e38081d-2774-4980-9666-e6c3b0ef6776,음식,음식점,중식,1063
완주군,전라북도,소양고택,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1378cc83-630c-4fb5-a7d6-b538c100bd3e,인문(문화/예술/역사),역사관광지,고택,1032
